Original Text,Translated to English,Topic
Por ahora no: no lo manejo ni uso aún con frecuencia.,For now not: do not handle it or use frequently.,document
Website ist sehr übersichtlich,Website is very clear,website
Nederlandse taalversie is niet altijd beschikbaar,Dutch language version is not always available,translation
No.,No.,nothing
aktuelle Informationen / neueste Beschlüsse in leichter Sprache zur Verfügung stellen,Provide current information / latest resolutions in easy language,translation
"Not really. At times it hasn't been easy to find the relevant meetings and especially the meeting documents, but it has improved","Not really. At times it hasn't been easy to find the relevant meetings and especially the meeting documents, but it has improved",document
"Keen on more coverage of EU policy development in relation to ETS, IMO-relationship, MASS and new technologies and fuels.","Keen on more coverage of EU policy development in relation to ETS, IMO-relationship, MASS and new technologies and fuels.",opinion
Nein,No,nothing
"Denne undersøgelse er misforstået. Jeg har slet ikke nået at se sitet endnu. Så I får falsk positiv. Desuden har befolkningen i EU utrolig mange andre typer for jobs end dem I jeres liste. Jeg anbefaler, at I overvejer, hvorfor I stiller disse spørgsmål og hvilken nytte svarene skal gøre. Medmindre I vil teste, hvor mange interne, der klikker på sitet.","This study is misunderstood. I haven't been able to see the site yet. So you get fake positive. In addition, the people of the EU have an incredible number of other types of jobs than those in your list. I recommend that you consider why you ask these questions and what useful the answers should do. Unless you want to test how many internal clicks on the site.",opinion
Nee,Nee,nothing
"You need to upgrade User Interface (to make layout more friendly: The Guardian, Reuters are well balanced solution as an example, why don’t have your website the same?) to make texts more visible and to improve insite search feature.it is much more easy to find documents in your website via Google Search instead of the website itself. It’s confusing.","You need to upgrade User Interface (to make layout more friendly: The Guardian, Reuters are well balanced solution as an example, why don’t have your website the same?) to make texts more visible and to improve insite search feature.it is much more easy to find documents in your website via Google Search instead of the website itself. It’s confusing.",search engine
Nevím,I do not know,nothing
"Fiind pentru prima oară când am intrat pe site-ul UE, nu am nicio sugestie.","Being for the first time I entered the EU website, I have no suggestion.",suggestion
i like the blue,i like the blue,website
NO,NO,nothing
3 ти -❤️😘💌🌹(◍•ᴗ•◍)✧*(๑♡⌓♡๑)лица,3 Ti -❤️😘💌🌹 (◍ • ᴗ • ◍) ✧ * (1 ♡ ⌓ ♡ 1) faces,nothing
Improve easy access to translations of the texts to other languages,Improve easy access to translations of the texts to other languages,translation
Non,Non,nothing
Je suis un Journaliste indépendant haïtien qui aimerait présenter sur son site web des infos continues sur l'UE. etzernicolasvolcy36@gmail.cm,I am an independent Haitian journalist who would like to present continuous information on the EU on his website. ETZERNICOLASVOLCY36@gmail.cm,website
Nie,NO,nothing
Voldria poder llegir el web en català.,I would like to read the website in Catalan.,website
Ich möchte wissen welche Buchstaben was bedeuten,I would like to know which letters mean what,information
no,no,nothing
Na,Na,nothing
"Que desaparezca la UE,son una pandilla de ineptos.","That the EU disappears, they are an inept gang.",opinion
"making a friendlier, more intuitive site. So far the times that I have accessed was because i got the link from someone else","making a friendlier, more intuitive site. So far the times that I have accessed was because i got the link from someone else",opinion
"Det er ok, men det er nødvendigt af og til at være kritisk og bevare sit overblik, men det er det jo altid, når der er politiske observationer og beslutninger","It's OK, but it is sometimes necessary to be critical and maintain your overview, but it is always when there are political observations and decisions",opinion
The international agreements database is really a very important tool. Please continue to maintain and develop. It would also be very useful to publish in a database all documents pertaining to the past IGC's (Intergovernmental Conferences) : it is very difficult to find them (the Commission database Dorie is not complete),The international agreements database is really a very important tool. Please continue to maintain and develop. It would also be very useful to publish in a database all documents pertaining to the past IGC's (Intergovernmental Conferences) : it is very difficult to find them (the Commission database Dorie is not complete),document
Nein,No,nothing
nie,NO,nothing
Non,Non,nothing
Pas pour l'instant,Not at the moment,nothing
No,No,nothing
Making the page more amiable.,Making the page more amiable.,opinion
Muy importante disponer de documentos en español,Very important to have documents in Spanish,document
no,no,nothing
Nein,No,nothing
highlight the main topics covered by the website,highlight the main topics covered by the website,website
Nu,Not,nothing
"Updating the documents page more frequently, because, as far as I can recall, the new hungarian ID hasn't yet been uploaded, for example.","Updating the documents page more frequently, because, as far as I can recall, the new hungarian ID hasn't yet been uploaded, for example.",document
οχι,no,nothing
Seems to be a good website.,Seems to be a good website.,website
Me gustaría poder hacer sugerencias acerca de cosas que afectan mi vida en Europa por ejemplo.,I would like to be able to make suggestions about things that affect my life in Europe for example.,suggestion
non,non,nothing
- Unnötig aufgebläht. - Weniger ist mehr - Suche nach z.b. Kommunalabwasserrichtlinie sollte aktuellen Erkenntnisse und Mitteilung aller EU Gremien liefern. Meisten ergeben sich aber nicht mal Treffer - Ggf. News Abo für Themenbereiche einführen..bisher nicht gefunden,- bloated unnecessarily. - less is more - search for e.g. Local ABWASTER GUITION should provide current knowledge and notification of all EU bodies. Most of them do not even result in hits - Introduce news subscription for subject areas .. Bisher not found,search engine
Hat man wirklich Zugriff auf jede Sprache ?,Do you really have access to every language?,translation
"PRADO oldalon az adott országok különböző okmánytípusok és azok altípusai nehezen különíthetők el, a néhány évvel korábbi változat jelentősebben könnyen áttekinthető volt.","The Prado site is difficult to distinguish between different types of documents and their subtypes, and the version a few years earlier was more easy to read.",document
Not really,Not really,document
Tous les langues trop uniquement en EN,All languages ​​too only in,translation
Melhorar a linguagem e disponibilizar os documentos em Português,Improve language and make documents available in Portuguese,document
"Übersichtlichkeit für schnelleres Finden wäre sehr wichtig: Themen (z.B. Energie, Klima) -> Filtermöglichkeit nach Zeit und Kategorien (Pressemitteilungen, Studien, Gesetzestexte, Fact Sheets, Videos, Audios) deutlicher Download-Button Suchfunktion sollte verbessert werden Pressemitteilungen","Fasting clarity would be very important: topics (e.g. energy, climate) -> Filter option according to time and categories (press releases, studies, legal texts, fact sheets, videos, audio) clear download button search function should be improved press releases",search engine
"Att inte skrämma gemene man, hålla er till sanningen om klimatförändringarna ex, Europa står för en exceptionell liten del som är försumbar om man ser till helheten, och oljan kommer ej att ta slut, man behöver allt, inte styra mot det ena eller det andra,","Not to scare the common man, keeping up with the truth about climate change ex, Europe stands for an exceptional small part that is negligible if you look at the whole, and the oil will not end, you need everything, not steer towards one or the other The",opinion
n.v.t.,n.v.t.,nothing
NO,NO,nothing
"I'm trying to get a contact from the Council to ask for HELP . I am a Portuguese citizen and we will be killed with teh taxes from our government . Last taxes to introduce a car with 20 years old will pay about 700€ taxes a year, use to pay 67€ a year we won't have money to eat or send the children to school , because we have no public transport also capable to do all the transports PLEASE HELP PORTUGUESE PEOPLE , PLEASE","I'm trying to get a contact from the Council to ask for HELP . I am a Portuguese citizen and we will be killed with teh taxes from our government . Last taxes to introduce a car with 20 years old will pay about 700€ taxes a year, use to pay 67€ a year we won't have money to eat or send the children to school , because we have no public transport also capable to do all the transports PLEASE HELP PORTUGUESE PEOPLE , PLEASE",opinion
agir en Homme de pensée et penser en Homme d'action,act as a man of thought and think as a man of action,opinion
"Le site reste bien, il faut mieux travailler sur l'organisation des pages afin de mieux s'y repérer et afin d'obtenir plus facilement ce que l'on souhaite.","The site remains well, you have to work better on the organization of the pages in order to better find your way there and to get easier what you want.",opinion
/,/,nothing
Překládat všechny tiskové zprávy do češtiny,Translate all press releases into Czech,document
Nej eftersom det är första gången för tidig fråga,No because this is the first time premature question,nothing
"No, grazie.",No thank you.,nothing
Wh,Wh,nothing
É muito bom e tem muita informação útil,It is very good and has a lot of useful information,information
Nein ihr macht das toll :),No you do it great :),opinion
nee,nee,nothing
Nincs,There is no,nothing
Presseveröffentlichungen europäischer Regierungen integrieren,Integrate press publications of European governments,opinion
Więcej tłumaczeń na język polski,More translations into Polish,translation
Nie,NO,nothing
all good thanks,all good thanks,nothing
"Desde já o meu muito obrigado. E, quem sabe em breve venha a fazer parte do quadro de colaboradores do Conselho Europeu. Bem-haja. Cumprimentos. Rui Lóio (+351967785248 / loiorui@gmail.com 9",My thank you in advance. And perhaps soon will be part of the European Council's staff. Well-haja. Compliments. Rui Lóio (+351967785248 / loiorui@gmail.com 9,opinion
nessuno,Nobody,opinion
Iam idian Iam in Kuwait,Already idian already in Kuwait,opinion
/,/,nothing
"pour le moment, non",currently not,opinion
The articles should be shorter.,The articles should be shorter.,search engine
Transparenz über den Untersuchungsausschuss ist gewünscht. Unzulänglich und unehrlich. Das Volk wird mit Banalität hingehalten.,Transparency about the committee of inquiry is desired. Inadequate and dishonest. The people are held up with banality.,opinion
Translate issues __ in real time. @ Spectators members related @ community,Translate issues __ in real time. @ Spectators members related @ community,opinion
Gan meaisínaistriúchán a úsáid.,Not to use translation machine.,translation
ΟΧΙ,NO,nothing
Mehr deutsche Übersetzungen auf einem Niveau für Schülerinnen und Schüler,More German translations at a level for students,translation
No,No,nothing
nincs,there is no,nothing
Search function looks quite random.,Search function looks quite random.,search engine
No,No,nothing
"Tänk mer som den svenska sidan som handlade kring Sveriges riksdags tidning ""Riksdag och Departement"" var upplagd. Den fungerade som en nyhetssida och var väldigt användarvänlig. Tyvärr finns den inte mer.","Imagine more like the Swedish side that acted around the Swedish Parliament's newspaper ""Parliament and Ministry"" was laid out. It worked as a news site and was very user -friendly. Unfortunately, it is no more.",opinion
No,No,nothing
"io cerco di contattare consolato generale, ambasciata , ministero degli interni e ministero degli esteri ma nessuno risponde alle mie telefonate o e-mail","I try to contact Consulate General, Embassy, ​​Ministry of Interior and Foreign Ministry but nobody responds to my phone calls or e-mails",email
"Place the expected adoption date of a policy somewhere near the headline of that page, if that information is available. In the topics/meetings etc. dropdown menus I would include more than just 3 entries. Make a dedicated ""Live"" Button on the top right side. In the timeline of the policy, I can only see prior meetings. While the meeting calender would include future meetings too. Could be nice to know when the next meeting about the policy/topic is, without having to look at 'future meeting' but in the timeline already.","Place the expected adoption date of a policy somewhere near the headline of that page, if that information is available. In the topics/meetings etc. dropdown menus I would include more than just 3 entries. Make a dedicated ""Live"" Button on the top right side. In the timeline of the policy, I can only see prior meetings. While the meeting calender would include future meetings too. Could be nice to know when the next meeting about the policy/topic is, without having to look at 'future meeting' but in the timeline already.",opinion
"I need help in the US. I am not a banker or EU citizen but my name or somehow is enrolled in data gathering and patents. Since this is fraud, I cannot identify more than that. My software isn't private and I am accused of crimes I haven't done or of being an addict or mentally ill. These issues occured over 30 yrs ago. I have been seriously harmed. I don't have a lawyer or any medical care that is relevent to my migraines. Dozens of social media accounts. If I open BBC I get a text from twitter. I have not used social media in years. Please, please help me in US. i am in Chicago Could go to DC or Ny","I need help in the US. I am not a banker or EU citizen but my name or somehow is enrolled in data gathering and patents. Since this is fraud, I cannot identify more than that. My software isn't private and I am accused of crimes I haven't done or of being an addict or mentally ill. These issues occured over 30 yrs ago. I have been seriously harmed. I don't have a lawyer or any medical care that is relevent to my migraines. Dozens of social media accounts. If I open BBC I get a text from twitter. I have not used social media in years. Please, please help me in US. i am in Chicago Could go to DC or Ny",opinion
El sitio web está perfectamente. Las preguntas de esta encuesta no se entienden a veces bien (concretamente las de la 6),The website is perfectly. The questions of this survey are not sometimes understood (specifically those of the 6),website
No,No,nothing
Not,Not,nothing
nein,no,nothing
Częstsza aktualozacja wzorów dokumentów np brakuje najnowszego dokumentu prawa jazdy z Azerbejdżanu.,A more frequent up -to -date document designs are missing the latest driving license document from Azerbaijan.,document
Pisać prawdę,Write the truth,opinion
Nein,No,nothing
Preventie promoten geneeskunde en orthomoleculaire geneeskunde bevorderen en burgers betrekken bij bestuur.,Prevention promotes medicine and orthomolecular medicine and involve citizens in governance.,opinion
Evtl. extra Bereich für Schüler*innen einfach für besseres Verständnis und um Informationen direkt entnehmen zu könne,Possibly extra area for students simply for better understanding and to be found directly in information,search engine
ne,it is,nothing
Inled ett samarbetter med art vara med oh skapa ett EU samar eye for Dom Fria konsten oh kultur. Mvh Mr Chriser Norling svefingbg@gmail.com,Begin a partner with Art Be with Oh create an EU Samar Eye for the free art and culture. Mvh Mr Chriser Norling Svefingbg@gmail.com,opinion
eher muss die ganze Union renoviert werden,"Rather, the whole Union has to be renovated",opinion
Da bi bili vsi po vrsti nepristranski in da ne bi s tem povzročali diskriminacije in neenakosti.,That everyone in turn would be impartial and not to cause discrimination and inequality.,opinion
Eu citizens in u k need more help and have a point of contact Housing Health inequalities Immigration status,Eu citizens in u k need more help and have a point of contact Housing Health inequalities Immigration status,opinion
"Deve ter mais biografias pormenorizadas e todos os membros da estrutura do Conselho, com as suas principais decisões e as respectivas consequências.","It must have more detailed biographies and all members of the Council structure, with their main decisions and their consequences.",opinion
C'est ma première visite,This is my first visit,nothing
Nimcoaxmed,Nimcoaxmed,nothing
No,No,nothing
No,No,nothing
nein,no,nothing
Nincs,There is no,nothing
No,No,nothing
No,No,nothing
"Rs mi primera vez, no tengo opinión.","RS my first time, I have no opinion.",nothing
nein super gut,No super good,website
"les pièces d'identité n'ont parfois pas de photo (visuel utile), parfois manque de détails ou la dernière version est manquante sur le site ou non répertoriée. Il faut d'abord consulter le recto, puis revenir à l'écran précédant pour pouvoir cliquer sur le verso","Identity documents sometimes do not have a photo (useful visual), sometimes lack of details or the latest version is missing on the site or not listed. You must first consult the front, then return to the preceding screen to be able to click on the back",document
nee,nee,nothing
"Yes, please include international driving licenses, all formats, for each issuing country.","Yes, please include international driving licenses, all formats, for each issuing country.",document
Rentnertechnik erneuern,Renewed pensioners,opinion
Not noe,Not,nothing
Khadim,Khadim,opinion
No,No,nothing
Yes its about my email that registered in this website i cannot login anymore. And thank you that i recieved this survey again from this new email i make. Thank you for updating me for the counsel websites again,Yes its about my email that registered in this website i cannot login anymore. And thank you that i recieved this survey again from this new email i make. Thank you for updating me for the counsel websites again,email
Organise more,Organise more,nothing
Nu,Not,nothing
no tengo experiencia suficiente.,I have no enough experience.,opinion
Prosto i czytelnie jak dla zdezorientowanych.,Simple and legible as for confused.,information
"Make it simple. With lists of themas and perhaps translanted ? When it comes to legislation; simplify it, make an abstract, doctoral students do not understand what is meant in the content.","Make it simple. With lists of themas and perhaps translanted ? When it comes to legislation; simplify it, make an abstract, doctoral students do not understand what is meant in the content.",opinion
wprowadzić podział językowy i automatyczne tłumaczenie,introduce a language division and automatic translation,translation
Suchfunktion durch Verknüpfung der Seiten vereinfachen,Simplify the search function by linking the pages,search engine
Non je trouve très util le site et je vous encourage à continuer comme ça Bravo !,No I find the site very useful and I encourage you to continue like that well done!,opinion
molto chiaro,very clear,opinion
nee,nee,nothing
Ποιο απλοποιημένο μενού προκειμένου να γίνεται πιο εύκολη η υπερπήδηση ( hyperlink) σε σχετικό λήμμα.,What simplified menu to make it easier to overpass in a related entry.,opinion
Die aktuellen Seiten der spanischen Präsidentschaft sind mitunter schwer zu erreichen bzw kompliziert programmiert,The current pages of the Spanish presidency are sometimes difficult to achieve or programmed complicated,opinion
"Nem cél, hogy használható legyen, csak az a cél, hogy minél több pénzt elkölthessenek rá.","It is not the goal to be usable, but the goal is to spend as much money as possible.",website
nan,,nothing
nan,,nothing
Dovrebbero rifare il governo. Pensare al bene della comunità e comportarsi come uno stato liberalista ed eliminare il capitalismo che crea bisogni di cui potremmo fare a meno.,They should redo the government. Thinking about the good of the community and behaving like a liberalist state and eliminating capitalism that creates needs that we could do without.,opinion
Would like to see updates of policy discussions.,Would like to see updates of policy discussions.,opinion
mas porno,but porn,opinion
Actualizar los contenidos y dar más claridad a la página para agilizar las búsquedas,Update the contents and give more clarity to the page to speed up searches,search engine
Nej,Her,nothing
keep up the good work,keep up the good work,opinion
J'ai besoin de travail,I need work,opinion
"Första besöket, försöker hitta rätt.","First visit, trying to find the right one.",nothing
"Publish official documents with outcomes of meetings sooner and make a more selective use of confidential labeling. This hurts transparency and hence trust in EU institutions and democracy. The Council is the least transparent of EU institutions, for no good reasons.","Publish official documents with outcomes of meetings sooner and make a more selective use of confidential labeling. This hurts transparency and hence trust in EU institutions and democracy. The Council is the least transparent of EU institutions, for no good reasons.",document
En osaa sanoa nyt,I can't say now,nothing
No,No,nothing
"Lad vær med, at sætte bagrundsmusik på, når der er tale. Vi er mange med høre problemer. Det forstyrre. Lad det alene være et tilvalg (ikke etfravalg)",Do not put on the grounds of music when it comes to talking. We are many with hearing problems. It disturb. Let it alone be an option (not one -fro),opinion
Jatkamalla poliittisten puolueiden johdon taustan seurantaa,By continuing to follow the background of the leadership of the political parties,document
No,No,nothing
"The search engine in the website must be improved in order to get information easier. Also, it would be helpful to present statements of the EP, EC, EUC and ECouncil easier in the website to access to an official source.","The search engine in the website must be improved in order to get information easier. Also, it would be helpful to present statements of the EP, EC, EUC and ECouncil easier in the website to access to an official source.",search engine
No,No,nothing
É só para consulta.,It's just for consultation.,opinion
the search for voting results might be improved. i've searched for a particular day (start and end date identical) but the number of results was still high and contained regulations outside the time it was searched for. and in general the information architecture of the page might be improved. also in regards of accessibility there might be some improvement. the focus outlines is sometimes hard to spot for some elements in focus. for example the fields in the sidebar on the votes page have no focus outline.,the search for voting results might be improved. i've searched for a particular day (start and end date identical) but the number of results was still high and contained regulations outside the time it was searched for. and in general the information architecture of the page might be improved. also in regards of accessibility there might be some improvement. the focus outlines is sometimes hard to spot for some elements in focus. for example the fields in the sidebar on the votes page have no focus outline.,search engine
no,no,nothing
Not on how the website could be improved.,Not on how the website could be improved.,website
Nu am.,I do not have.,nothing
No,No,nothing
"Que alguien cambie los nombres de los órganos de la UE, por favor. Que exista un Consejo de la UE, un Consejo Europeo y un Consejo de Europa con nombres tan parecidos no solo fomenta la confusión, sino el desinterés y el desafecto de los ciudadanos por las instituciones europeas. Parece una broma.","Someone changing the names of the EU organs, please. That there is an EU council, a European council and a council of Europe with such similar names not only encourages confusion, but the disinterest and disaffection of citizens by European institutions. Looks like a joke.",opinion
No,No,nothing
No,No,nothing
No,No,nothing
Europarat - Europäischer Rat -Ministerrat,Council of Europe - European Council Minister Council,opinion
"Es wäre schön, wenn die Anliegen von Kindern stärker berücksichtigt werden würde. Beispielsweise gibt es keine Aufbereitung der Texte in kindgerechter Sprache.","It would be nice if the concerns of children were more taken into account. For example, there is no preparation of the texts in child -friendly language.",translation
manca un motore di ricerca delle PMI europee,There is no search engine of European SMEs,search engine
Nej.,Her.,nothing
wo,where,nothing
"Nein, danke.",No thanks.,nothing
"hacer las cosas más fáciles. Un link te lleva a otro, y luego a otro y es un bucle. Luego, después de muchas horas, no sé si las conclusiones de Taxonomía ,que era lo que buscaba, lo he encontrado","do things easier. A link takes you to another, and then another and is a loop. Then, after many hours, I don't know if taxonomy conclusions, which was what I was looking for, I have found it",opinion
"Claridad, valentía, especialmente en las posturas, ahora mismo: conflicto Palestina -Israel","Clarity, courage, especially in the positions, right now: Palestinian conflict -israel",opinion
"veuillez integrer des testes psychotechniques en ligne pour permettre au competences gachees d'avoir une chance de s'exercer chez vous, il ya des talents gachees inutilement ailleurs et qu'ils vpeuvent apporter un plus la ou l'on donne la chance de s'exercer","Please integrate psychotechnical tests online to allow gachees to have a chance to exercise at home, there are talents unnecessarily elsewhere and that they bring a plus where we give the chance to exercise",opinion
viele Seiten nur in Englich vohanden,many pages only in the inclusive voHand,opinion
Demasiada censura,Too much censorship,website
Debe ser mucho más independiente y justo.,It must be much more independent and fair.,website
"Me da la impresión por la cuál el Consejo Europeo ha olvidado la invasión de Israel a Palestina en el año 67 en la guerra de los seis días, recordado esto ¿ quiénes son los terroristas, Israel o Hamas por defender su país, Palestina.","I get the impression by which the European Council has forgotten Israel's invasion to Palestine in the year 67 in the six -day war, remembered this who are the terrorists, Israel or Hamas for defending their country, Palestine.",opinion
"No, because I think it's fine as it is.","No, because I think it's fine as it is.",opinion
Non RAS.,Not ras.,nothing
leider nein,unfortunately no,suggestion
Continuar a aplicar questionários para introduzir melhorias.,Continue to apply questionnaires to introduce improvements.,opinion
Available in catalan,Available in catalan,document
No,No,nothing
"No m gusta nada la política de la UE en cuanto a inmigración, siempre ayudando a terceros y los europeos autóctonos marginándolos. No es la respuesta adecuada pero es el único sitio donde lo puedo decir","The EU policy in terms of immigration does not like anything, always helping third parties and native Europeans marginalizing them. It is not the right answer but it is the only place where I can say it",opinion
NO,NO,nothing
"nie, jeszcze nie poznałem portalu","No, I haven't met the portal yet",suggestion
¡¡¡ ist das die kunst¿¿¿,¡¡¡Is that the art,nothing
no,no,nothing
Nu,Not,nothing
NO,NO,nothing
Keep going EU!,Keep going EU!,nothing
No,No,nothing
"Esta fatal que haya consejo, consejo europeo y consejo de la union europea. Deberian cambiarles los nombres para que los ciudadanos nos enteremos de lo que se habla en cada caso sin problema...","This fatal that there is Council, European Council and Council of the European Union. They should change their names so that citizens find out what is discussed in each case without problem ...",opinion
Not yet,Not yet,nothing
Schlagwortverzeichnis - ich habe vergeblich danach gesucht,Headword list - I searched in vain for it,opinion
Fornire informazioni anche sui canali social,Provide information also on social channels,information
No,No,nothing
Denúncia,Complaint,opinion
"No. I was just looking for the EU's stance on the Israël - Gaza conflict, as I found it inappropriate that undemocratically elected mss Von Der Leyen presented herself as the face of europe.","No. I was just looking for the EU's stance on the Israël - Gaza conflict, as I found it inappropriate that undemocratically elected mss Von Der Leyen presented herself as the face of europe.",opinion
It was easy to find what I was interested in cause it was a campaign. It brought me right where the article was.,It was easy to find what I was interested in cause it was a campaign. It brought me right where the article was.,document
Travailler les traductions un peu mieux.,Work on translations a little better.,translation
nu,not,nothing
no,no,nothing
Avere la traduzione di tutte le parti in italiano,Have the translation of all parties in Italian,translation
"Nein, die Umfrage kam sofort und bevor ich mir ein Bild machen konnte","No, the survey came immediately and before I could get a picture",website
egyelőre nincs,there is no,nothing
Да,Yes,nothing
Que comuniquen sus cambios por X (antes Tweeter),That communicate their changes for X (formerly Tweeter),opinion
No,No,nothing
Nee ben nog te nieuw,No I am still too new,opinion
"In ce măsură , puteți determina guvernele tarilor membre UE , sa pună rapid in aplicare proiectele foarte bune de alt fel, in așa maniera încât sa beneficiem si noi pensionarii de ele ?","To what extent, can you determine the governments of the EU member countries, to quickly implement the very good projects, so that we also benefit from the pensioners?",opinion
Nu,Not,nothing
No,No,nothing
"Apropierea de oameni, accesibilitate","Approaching people, accessibility",opinion
Nu,Not,nothing
"Bättre sökmotor, skulle vilja ha mer fakta.","Better search engine, would like more facts.",search engine
lepiej dzialajaca wyszukiwarka,Better running search engine,search engine
No,No,nothing
"Προς το παρόν, όχι.",Not for now.,nothing
"Działajcie, nade wszystko nad imigrantami, bo tak dalej nic nie może.","Act, above all over immigrants, because nothing can still do.",nothing
Leg PRECIES uit aan de burgers van Europa wat er volgend jaar in mei eventueel wordt ondertekend op het WHO.,Explain exactly to the citizens of Europe what will be signed on the WHO next year.,opinion
Fatto veramente bene: chiaro e d'impatto. Le immagini dei componenti con la relativa breve ed essenziale descrizione sono utili e rimangono ben impressi. Complimenti.,Made really well: clear and impactful. The images of the components with the relative short and essential description are useful and remain well impressed. Compliments.,opinion
The website is ok BUT the email (newsletter) is difficult to read because of the color of the headlines (dark blue) over a BLACK background. A little change would be nice :),The website is ok BUT the email (newsletter) is difficult to read because of the color of the headlines (dark blue) over a BLACK background. A little change would be nice :),email
Nein,No,nothing
desidero conoscere anche i colloqui che ci sono tra ue e l'Italia a riguardo della pesca marittima grazie,I also want to know the talks that are between EU and Italy about Maritime Fishing thanks,document
non,non,nothing
WEBSITE BEEN SIMPLY OVER USAGE.LIKE EVEN COLORS BEEN USED..AGAIN...NOT KNOW HOW MUCH BEEN RELEVENT...OVER ALL THAT BEEN PROVIDED OVER ME..BY NOW...WEBSITE LOOKING GREAT..EASY USAGE AS MOST PRIORITY,WEBSITE BEEN SIMPLY OVER USAGE.LIKE EVEN COLORS BEEN USED..AGAIN...NOT KNOW HOW MUCH BEEN RELEVENT...OVER ALL THAT BEEN PROVIDED OVER ME..BY NOW...WEBSITE LOOKING GREAT..EASY USAGE AS MOST PRIORITY,website
No se me ocurre ninguna aportación como sugerencia.,I can't think of any contribution as a suggestion.,suggestion
améliorer le moteur de recherche,Improve the search engine,search engine
Não tenho nenhuma sugestão,I have no suggestion,suggestion
pas encore,Not yet,nothing
no,no,nothing
"Ihan tavallinen kansalainen ei tiedä, mikä on Prado - kyselystäkin huomasi, ettei sen laatijoille ole selvää, mikä on ""eu slangia"" ja mikä yleiskieltä, kun kysyttiin vain Pradon hyödyllisyyttä..","An ordinary citizen does not know what the Prado survey noticed that it was not clear to its author what is ""EU slang"" and what is common language when asked only the usefulness of Prado ..",translation
Nur überprfbare Fakten,Only overstable facts,search engine
None,None,nothing
Não,No,nothing
Muktarhusen643@gmail.com,Muktarhusen643@gmail.com,opinion
"Great! Keep giving us these summarized statistics they are what are ultimately useful to the average person, with supporting detail for more in-depth uses","Great! Keep giving us these summarized statistics they are what are ultimately useful to the average person, with supporting detail for more in-depth uses",opinion
This is my first attempt at your website.,This is my first attempt at your website.,website
La verdad es que no se me ocurre nada.,The truth is that I can't think of anything.,opinion
"Nein, ich denke das ist Ok. Ich wollte eine Übersicht als KArte über die Flüchtlingsverteilung aus der Ukraine in Europa. So bin ich hier gelandet. Reines surfen im Netz.","No, I think that's ok. I wanted an overview as a map of the refugee distribution from Ukraine in Europe. That's how I landed here. Pure surfing online.",opinion
????,????,nothing
Nee,Nee,nothing
Zur Zeit hab ich dergleichen nicht,At the moment I don't have the same thing,nothing
"Da, tinand cont de experienta primilor ani si sugestiile facute de toti care au raspuns anchetei","Yes, taking into account the experience of the first years and the suggestions made by everyone who responded to the investigation",suggestion
"No, it is clear and nice","No, it is clear and nice",opinion
No,No,nothing
Οχι,No,nothing
aucune pour le moment peut-être à la prochaine,None for the moment maybe the next time,nothing
Pakistan in Italy,Pakistan in Italy,document
"le site en lui même est clair. MAiS, je suis tombé dessus par hasard","The site itself is clear. But, I came across it by chance",opinion
Ich suche eine Übersicht der einzelnen Führungsorgane der EU und die derzeitigen Vorsitzenden. Das habe ich bisher jeweils nur einzeln gefunden.,I am looking for an overview of the EU's individual management bodies and the current chairpersons. So far I have only found that individually.,opinion
Nie mam,I don't have,nothing
no,no,nothing
nihil,nothing,nothing
Please be more transparent and keep the interests of the ordinary person in mind when making democratically dubious decisions. We need more freedom and we expect our rights to be upheld.,Please be more transparent and keep the interests of the ordinary person in mind when making democratically dubious decisions. We need more freedom and we expect our rights to be upheld.,opinion
I am not sure,I am not sure,document
conseguir financiamentos mais faceis para a ajuda da comunidade,Get easier financing for community help,search engine
Selkeät ja yksinkertaiset sivustot,Clear and simple sites,opinion
No,No,nothing
"Se riterrete, aumentare l'indice analitico delle voci. Per esempio, cercavo la decisione sul periodo in cui si svolgeranno le elezioni del Parlamento europeo negli Stati membri. Ci sono arrivato velocemente con il motore di ricerca Google. Dal mio punto di vista, è preferibile che venga inserito una specie di registro per argomenti, utilizzando il quale potrebbe essere più immediato il reperimento delle decisioni del Consiglio (nel mio caso, elezione Parlamento europeo, periodo di svolgimento delle elezioni). Grazie.","If you consider, increase the analytical index of the items. For example, I was looking for the decision on the period in which the elections of the European Parliament in the Member States will take place. I got there quickly with the Google search engine. From my point of view, it is preferable that a kind of register for topics is inserted, using which the finding of the decisions of the Council could be more immediate (in my case, the European Parliament election, period of the elections). Thank you.",search engine
clearer structure for the Council working groups and agenda of Coreper meetings,clearer structure for the Council working groups and agenda of Coreper meetings,opinion
neturiu,I have no,nothing
Nothing to comment for the moment.,Nothing to comment for the moment.,nothing
"Hätten sie mir die Zeit gegeben, die Website, vor dem Aufpoppen des Umfragefensters, zu betrachten, könnte ich diese Frage beantworten","If you had given me the time to look at the website before popping up the survey window, I could answer this question",website
It's clear to me.,It's clear to me.,opinion
mehr Beispiele con einem Dokumenttyp waeren hilfreich,More examples are helpful to a document type,document
/,/,nothing
Non,Non,nothing
Ikke endnu?,Not yet?,nothing
"Erscheint auf den ersten Blick recht übersichtlich, gut strukturiert und informativ.","Appears quite clearly, well structured and informative at first glance.",nothing
nie,NO,nothing
