Original Text,Translated in English,Topic
MINIMUM,MINIMUM,understanding
"The data used to train AI may itself be subject to biases. Reality distortions, translation errors, bias, etc.","The data used to train AI may itself be subject to biases. Reality distortions, translation errors, bias, etc.",human translation
tłumaczenie maszynowe miałoby dużo błędów oraz byłoby ubogie w fachowe słownictwo. Brakowałoby właściwej interpretacji.,Machine translation would have a lot of mistakes and would be poor in professional vocabulary. There would be a lack of proper interpretation.,machine translation
"For languages I speak more or less fluently, I would be inclined to compare the original and the translation, before I trusted the tool. That would reduce the screen space and shift the focus of my navigation.","For languages I speak more or less fluently, I would be inclined to compare the original and the translation, before I trusted the tool. That would reduce the screen space and shift the focus of my navigation.",reliability
Sarebbe richiesta una revisione,A review would be required,content
"La traduction serait moins fidèle, certains termes pourraient être mal employés ou n'ayant pas le sens recherché, ce qui changerait celui du texte ou le rendrait incompréhensible, nous ne pourrions donc pas nous fier totalement aux articles.","The translation would be less faithful, certain terms could be poorly used or not having the meaning sought, which would change that of the text or would make it incomprehensible, so we could not completely trust the articles.",reliability
"tłumaczenie jest dobre, ale człowiek lepiej by pzretłumaczył","The translation is good, but a man would be better",human translation
Înțelegere mai buna a informatiilor,Better understanding of information,understanding
"Es hängt davon ab, wie gut die maschinelle Übersetzung ist. Bei einer großen Fehlerrate würde ich die Website weniger oft nutzen","It depends on how good the machine translation is. With a large error rate, I would use the website less often",reliability
"Its never the same an , More or less guessing about the translation","Its never the same an , More or less guessing about the translation",reliability
"Non è così chiara e precisa come quella fatta da un uomo, ed in una materia dove la differenza sta nei dettaglie questo potrebbe essere un problema.","It is not as clear and precise as that made by a man, and in a matter where the difference lies in the details this could be a problem.",reliability
Negativa svar kan inte positiviseras på skalan som god ide....,Negative answers cannot be posed on the scale as a good idea ....,quality
Polish language when translated by machine instead of a human sounds sooo off! Polish is almost always garbage when not translated by a real person.,Polish language when translated by machine instead of a human sounds sooo off! Polish is almost always garbage when not translated by a real person.,machine translation
lack of confidence,lack of confidence,content
More possible mistakes - fine as long as it is clearly indicated that it's machine translated.,More possible mistakes - fine as long as it is clearly indicated that it's machine translated.,machine translation
"Muito grande, pois ia ser mais facil","Very big, because it was going to be easier",ease of use
"absolute verweigerung. der eu - rat ist teuer genug, da sollten die übersetzergehälter gerade noch möglich sein.","Absolute refusal. The EU Council is expensive enough, so the translator salaries should still be possible.",machine translation
In bine pentru toți cei 550 de milioane de locuitori din UE,For good for all 550 million inhabitants in the EU,language
Allo stato attuale le traduzioni automatizzate non riescono a cogliere le sfumature delle lingue e a volte commettono errori grossolani,"At present, automated translations are unable to grasp the shades of languages ​​and sometimes commit coarse errors",language
"Es könnte selbstverständlich zu Missverständnissen kommen, wenn ein Wort falsch übersetzt wird","Of course, misunderstandings could occur if a word is translated incorrectly",language
"Unrevised machine translation makes up for fuzzy translation. Properly revised, however, it is a marvelous tool. My only caveat to aid in translation is to have a human revise it afterward. I am a translator and that is what I do.","Unrevised machine translation makes up for fuzzy translation. Properly revised, however, it is a marvelous tool. My only caveat to aid in translation is to have a human revise it afterward. I am a translator and that is what I do.",human translation
Η μηχανική μετάφραση δεν μπορεί να αποδώσει επακριβώς νομικές έννοιες.,Mechanical translation cannot deliver precisely legal concepts.,human translation
Det beror på översättningen,It depends on the translation,human translation
Korrekte Information muss gewährleistet sein - Ursprungssprache des Textes klar hervorgehoben,Correct information must be guaranteed - original language of the text clearly highlighted,information
good,good,nothing
No,No,nothing
Probabilmente non riuscirebbe a contestualizzare al meglio le informazioni in oggetto,It would probably not be able to contextualize the information in the most,information
Human translation better ensures that the intent of the original text is reflected in all versions.,Human translation better ensures that the intent of the original text is reflected in all versions.,understanding
Môže mu dať iný význam.,He can give him a different meaning.,language
Not sure,Not sure,quality
"ne bi vplivalo na to, kako ga uporabljam, bi pa vplivalo na mojo oceno zadovoljstva z njim.","It would not affect how I use it, but it would affect my assessment of satisfaction with it.",understanding
Non è sempre comprensibile,It is not always understandable,reliability
I would evaluate the information similarly to the quality of LLM's answers.,I would evaluate the information similarly to the quality of LLM's answers.,quality
"It would make the information less reliable. To cite (incorrectly) marcus aurelius, by the time you read this it has been translated through many languages and minds, all of them flawed. automation will not make that better.","It would make the information less reliable. To cite (incorrectly) marcus aurelius, by the time you read this it has been translated through many languages and minds, all of them flawed. automation will not make that better.",reliability
Riscuri foarte mari de erori si misinformare,Very high risks of errors and misinformation,human translation
Da verificare effettiva precisione del sistema di traduzione - intervento umano assicura per se sensibilità al contesto,To be verified effective precision of the translation system - human intervention ensures sensitivity to the context for itself,human translation
Ar fi mult mai ușor de înțeles și acesta pentru persoanele care doresc să afle mai multe despre UE.,It would be much easier to understand too for people who want to know more about the EU.,ease of use
"Lo visiterei più spesso, ma vorrei anche usarlo nella lingua originale","I would visit it more often, but I would also like to use it in the original language",language
dålig översättning,bad translation,human translation
"interlocuzione con i cittadini è indispensabile nella loro lingua, per essere comprensiva e inclusiva","interlocution with citizens is indispensable in their language, to be understood and inclusive",language
"J'aurais moins confiance en ce que je pourrais lire, car je ne pense pas que les machines puissent traduire comme les humains à l'heure actuelle.","I would have less confidence in what I could read, because I do not think that the machines can translate like humans at present.",reliability
bedeutend,significant,language
pojawiałyby się błędy językowe,Language errors would appear,language
"nie wie, trzeba by sprawdzić","He doesn't know, you would have to check",nothing
Αρνητικό,Negative,quality
I might get the answer I am after.,I might get the answer I am after.,information
Keine Macht den maschinen,No power to the machines,machine translation
Wahrscheinlich würde es zu übersetztungsfehler führen dadurch würde ich die Seite mehr nutzen um mich über die Fehler lustig zu machen,"Probably it would lead to translation errors, so I would use the page more to make fun of the mistakes",human translation
Aucune.,None.,nothing
muy importante,very important,information
Merkittävästi.,Significantly.,reliability
"I am an English native speaker, so the only impact would be if I needed another language for official purposes and needed to be sure the translation was official - but that would be of documents that I in fact expect are likely to remain official translations.","I am an English native speaker, so the only impact would be if I needed another language for official purposes and needed to be sure the translation was official - but that would be of documents that I in fact expect are likely to remain official translations.",language
AYUDA A LEER Y ENTENDER BIEN LA WEB Y NO LLEVAR A UNA MALA INTERPRETACIÓN,Help read and understand the web well and not lead to a misinterpretation,ease of use
Értelmezési fordítással van gondom.,I have a problem with interpretation translation.,human translation
une fréquentation plus systématique,more systematic attendance,understanding
Jónak tartom a gépi fordítást.,I think the machine translation is good.,machine translation
"Machine translations are of course very useful and mostly appreciated but they impact everything (sometimes volatile changes) and certain language nuances are forever lost. As for now, at least. A field for development, certainly.","Machine translations are of course very useful and mostly appreciated but they impact everything (sometimes volatile changes) and certain language nuances are forever lost. As for now, at least. A field for development, certainly.",machine translation
Se di buon livello basterebbe,If of good level it would be enough,machine translation
En général les traductions automatiques comportement des erreurs.,"In general, automatic translations behavior of errors.",human translation
"Depinde de calitatea traducerii. Dar m-aș descurca, deoarece vorbesc fluent mai multe limbi ( maghiară, engleză, germană )","It depends on the quality of the translation. But I would handle it because I speak fluently several languages ​​(Hungarian, English, German)",quality
Może tak,Maybe yes,information
"Not positive, as the HB is translation by interpreting the sense not only the words","Not positive, as the HB is translation by interpreting the sense not only the words",human translation
"Facilitaria l'accés a persones que no dominen la llengua original, es a dir, l""anglés","Would facilitate access to people who do not master the original language, that is, ""English",language
nan,Na,nothing
Le sens des mots pourrait alors quelque fois etre biaisé.,The meaning of words could then sometimes be biased.,language
Seria fiável,It would be reliable,reliability
"Sería más fácil la consulta, a veces hay cosas que uno no sabe del todo en inglés","The consultation would be easier, sometimes there are things that one does not know completely in English",ease of use
I believe that the quality of the translation would worsen,I believe that the quality of the translation would worsen,quality
"NIEKTÓRE treści mogłyby nie być przetłumaczone w wiarygodny, właściwy sposób","Some content may not be translated in a reliable, proper way",content
"I hate AI, it will destroy the average persons future! And remove people from jobs","I hate AI, it will destroy the average persons future! And remove people from jobs",ease of use
Une traduction automatique serait extrêmement nocive à la compréhension des articles (et au bon usage de la langue française).,A automatic translation would be extremely harmful to understanding the articles (and the proper use of the French language).,language
Mayor accesibilidad a la información y mayor rapidez,Greater accessibility to information and faster,information
"Se perdería mucha información ya que el sentido y la forma de decir las cosas, una IA de momento no sabe interpretarla y traducirla. Es neceario que lo haga una persona que sepa ese tipo de matices que puede cambiar el significado de una frase","A lot of information would be lost since the meaning and the way of saying things, an AI for the moment does not know how to interpret it and translate it. It is necessary to make it a person who knows that type of nuances that can change the meaning of a phrase",information
Positive,Positive,language
Изглежда несериозно,Seems frivolous,understanding
"Podría haber alguna inconsistencia en la traducción, por lo que sería necesaria una revisión de los textos por parte de personal humano para posibles correcciones","There could be some inconsistency in translation, so a review of texts by human personnel for possible corrections would be necessary",human translation
"Moderate impact, as well, as we need to start with human translation before moving forward to machine generated translation. In short, it should start with the basic and then the next update.","Moderate impact, as well, as we need to start with human translation before moving forward to machine generated translation. In short, it should start with the basic and then the next update.",human translation
brak gwarancji jakosci,No quality guarantee,quality
δυσκολια στην κατανοηση λογω ανακριβους μεταφρασης,DIFFICULTY IN UNDERSTANDING INDINEST TRANSLATION,human translation
No se entendería correctamente. Daría impresión de mala calidad,It would not be understood correctly. Would give poor quality impression,quality
Positive,Positive,language
significativamente,significantly,reliability
Possibly less likely to use it,Possibly less likely to use it,reliability
Często zatracją sens i przekręcają znaczenie zdań. Od instyucji państwowych i międzynardowych oczekuję więcej niż od popularnych artykułów,"Often, they are a sense and twist the meaning of sentences. I expect more than popular articles from state and inter -eighty institutions",machine translation
moindre fiabilité juridique des textes officiels,lower legal reliability of official texts,understanding
"la traduzione automatizzata deve essere chiara, comprensibile","The automated translation must be clear, understandable",human translation
I would check some term where suspect of inconsistency,I would check some term where suspect of inconsistency,ease of use
It would feel wrong to use it knowing it put people out of a job,It would feel wrong to use it knowing it put people out of a job,ease of use
"Presume worse translations, harder to understand on technical topics","Presume worse translations, harder to understand on technical topics",human translation
Bedenken dass die Übersetzung gut ist,Remember that the translation is good,human translation
IN MY PROFESSION AS KNOWLEDGE,IN MY PROFESSION AS KNOWLEDGE,understanding
Übersetzungsgenauigkeit / sinngemäß müsste geprüft werden,Translation accuracy / analysis should be checked,human translation
We need to have legal certainty when using the official Council website,We need to have legal certainty when using the official Council website,ease of use
un doute sur la capacité de la machine à appréhender les subtilités des langues nationales,a doubt about the capacity of the machine to understand the subtleties of national languages,machine translation
Certains modules demeurent spécifiques de l'anglais tandis qu parfois les traduction automatique m'apparaissent variables.,Some modules remain specific to English while sometimes automatic translations appear to me variable.,human translation
"Parfois on fais face au problème de traduction, si le réseau n'est pas bon","Sometimes we face the translation problem, if the network is not good",human translation
Mohammad amir 00923426184475 my country Pakistan and the WhatsApp number visa Pakistan send me passport and,Mohammad amir 00923426184475 my country Pakistan and the WhatsApp number visa Pakistan send me passport and,understanding
"Azt a hamis látszatot keltené, hogy az adott honlap le van fordítva, holott nincs, a gép a fordítói munka 90%-át nem végzi el, a szöveg nem hivatkozható és nem felhasználható. Ugyanakkor olyan fordítók munkájából táplálkozik, akik ehhez nem járultak hozzá, semmilyen jogdíjat nem kapnak ezért, de a gépi ""fordítás"" terjedése miatt csökken a díjazásuk és maga a munka mennyisége is, ami veszélyezteti a szakmát, annak minőségét, és hosszú távon a gépi megoldások minőségét is.","It would give the false appearance that the website is translated, although it is not, the machine does not do 90%of the compiler work, the text cannot be referenced or usable. However quality.",quality
Je serais plus critique,I would be more critical,human translation
"Cred ca traducerea automata nu este inca la nivelul traducerii umane, iar unele lucruri nu ar avea sens in anumite limbi. Traducerea umana ofere rezultate excelente si ofera o intelegere usoara a site-ului.","I think the automatic translation is not yet at the level of human translation, and some things would not make sense in certain languages. The human translation offers excellent results and offers an easy understanding of the site.",understanding
Me sería más fácil encontrar resultados,It would be easier for me to find results,ease of use
"joutuisin todennäköisesti pohtimaan onko asiat esitetty oikein, koska äidinkieleni ei käänny kovin helposti.",I would probably have to consider whether things have been presented correctly because my mother tongue doesn't turn very easily.,information
"la précision des termes, et voire des incohérences de propos dans la traduction de certaines structures de phrases complexes, pouvant générer contre-sens ou imprécisions très importantes","The precision of the terms, and even the inconsistencies of words in the translation of certain structures of complex sentences, which can generate very important counter-sisters or imprecisions",human translation
Det skulle göra det svårt att förstå översättningarna i sitt egna modersmål.,It would make it difficult to understand the translations in their own native language.,language
Bei Übersetzung rechtlicher Texte durch KI ist erhöhte Quellenkontrolle und gründlicher fachlicher (rechtlicher) Review der Übersetzung nötig. Insbesondere sind Halluzinationen der KI zu suchen (z.B. werden Gesetzesentwürfe als endgültige Gesetze behandelt).,"When translating legal texts by AI, increased source control and thorough technical (legal) review of the translation is necessary. In particular, hallucinations of the AI ​​are to be found (e.g. laws are treated as final laws).",human translation
Mayor celeridad en divulgación,Greater speed in dissemination,information
"weinig, als ben ik benieuwd of er ook naar de kwaliteit wordt gekeken.","Little, if I am curious if the quality will also be looked at.",quality
Pentru străini care sunt interesați si nu cunosc limba română este folositor.,For foreigners who are interested and do not know the Romanian language is useful.,language
"it would make it easier, however I think it needs a manual option, so I could turn translation off","it would make it easier, however I think it needs a manual option, so I could turn translation off",ease of use
malo,room,understanding
Because a lot of people would loose their job and also because AI translations of official acts are not precise as humans ones,Because a lot of people would loose their job and also because AI translations of official acts are not precise as humans ones,human translation
Joaaaa,Joaaaa,understanding
Svi dokumenti bi bili prevedeni.,All documents would be translated.,ease of use
Using it at work machine translation is inaccurate and a human has to finalise the work before it's correct especially from an official EU language to a less common language as Danish,Using it at work machine translation is inaccurate and a human has to finalise the work before it's correct especially from an official EU language to a less common language as Danish,reliability
jag skulle inte veta om jag kan lita på innehållet,I would not know if I can trust the content,content
"ich wäre dem Wortlaut gegenüber mißtrauischer, hätte andererseits schnell grundlegende Informationen über Dokumente in anderen EU-Sprachen.","I would be more suspicious of the wording, and on the other hand, I would quickly have basic information about documents in other EU languages.",information
verjetno slabša kvaliteta prevodov,Probably the poorer quality of translations,quality
Molto,Very,nothing
strojový preklad spôsobuje chyby v texte. Je dôležité aby boli informácie spoľahlivo dostupné vo všetkých jazykoch.,Machine translation causes errors in the text. It is important that the information is reliably available in all languages.,information
moderato,moderate,machine translation
CHat GPT,CHat GPT,nothing
Consulterei il sito meno volentieri e con meno fiducia (traduco per la Commissione).,I would consult the site less willingly and with less confidence (I translate for the commission).,reliability
parfois les traduction automatique présente des double sens à la lecture,Sometimes automatic translations presents double meaning to reading,human translation
Olakšalo bi mi proučavanje materijala i razumijevanje složene tematike.,It would make it easier for me to study material and understanding of complex themes.,ease of use
Accesibilitate crescuta.,Increased accessibility.,information
Μειωμένος χρόνος ανάγνωσης,Reduced Reading Time,ease of use
Jakość tłumaczeń.,Quality of translations.,quality
"Смятам, че в такъв случай превода няма да е толкова добре направен и ще има проблеми при него",I think then the translation will not be as well made and there will be problems with it,human translation
abbasserebbe la qualità,would lower the quality,quality
A nao adequaçao 100% a cada idioma local,The non -adequacy 100% with each local language,language
byłoby mniej jakościowe,it would be less qualitative,reliability
"Mogłoby być mniej zrozumiałem to, co jest na portalu obecnie napisane.",It could be less understood what is on the portal now written.,reliability
"W zależności od jakości tłumaczenia przewiduję, że dla trudniejszych / bardziej skomplikowanych informacji korzystałbym z wersji angielskiej, aczkolwiek dla większości Polaków byłaby to bariera nie do przeskoczenia - zwłaszcza dla osób powyżej 40 roku życia.","Depending on the quality of the translation, I predict that for more difficult / more complicated information I would use the English version, although for most Poles it would be an impossible barrier - especially for people over 40 years of age.",quality
Posiblemente lo usaría menos,Possibly I would use less,reliability
I dont have any problem reading it either in my native laguage or in English,I dont have any problem reading it either in my native laguage or in English,language
maximálisan az IM használatával,Maximally using IM,understanding
Bardzo dobry kontakt z nami europejczykami,Very good contact with us Europeans,machine translation
την μη ακριβή απόδοση των εννοιών,the non -accurate performance of the concepts,information
δεν γίνεται ακριβής μετάφραση των εννοιών και χάνεται το νόημα,No precise translation of concepts and the meaning is lost,human translation
EVITARIA ERORES,Would avoid erores,understanding
We would lose all the important nuance in the text,We would lose all the important nuance in the text,language
It will be poor quality translation,It will be poor quality translation,quality
en ninguna,In none,nothing
?,?,nothing
Sería mas cercano a la ciudadanía,Would be closer to citizens,language
"Je pense que puisque les notions utilisées sont parfois complexes, il est important d’avoir une bonne traduction ainsi que les explications de ces notions","I think that since the concepts used are sometimes complex, it is important to have a good translation as well as the explanations of these notions",human translation
"Machine translation aren't always reliable, some things might not make sense","Machine translation aren't always reliable, some things might not make sense",machine translation
"Tłumaczenie mogłoby nie być odpowiednie, treść mogłaby być mylna lub bezsensowna","The translation may not be appropriate, the content could be wrong or senseless",content
I do not think machine translation system advanced enough for comparing with human translation.,I do not think machine translation system advanced enough for comparing with human translation.,human translation
Je ferai une traduction manuelle partielle pour des phrases importantes afin d'être certain de l'exactitude.,I will make a partial manual translation for important sentences in order to be certain of accuracy.,human translation
eviterebbe (forse) che la funzione ricerca mi dia risultati parziali perché determinati documenti sono presenti solo in alcune lingue,it would prevent (perhaps) that the search function gives me partial results because certain documents are present only in some languages,language
Ireland English,Ireland English,language
Work😔,Work😔,machine translation
NO,NO,nothing
"Mauvaise traduction, risque de mauvaise compréhension, risque de différence avec le texte original, risque de mots différents.","Bad translation, risk of poor understanding, risk of difference with the original text, risk of different words.",understanding
"Nisem prepričana, da bi strojno prevajanje omogočilo branje slovnično dosledno slovenščino.",I am not sure that machine translation would allow you to read grammatically consistent Slovene.,machine translation
Die Nutzung würde sich nicht ändern.,The use would not change.,nothing
"je n'irai plus. on n'est pas dirigés par des machines que je sache, et elles ne pourront jamais remplacer la subtilité des humains","I will not go anymore. We are not led by machines that I know, and they can never replace humans' subtlety",machine translation
Clarifications and simplicity on complicated matters,Clarifications and simplicity on complicated matters,language
vaker bron-documenten raadplegen want AI-vertalingen raken nogal eens de contect kwijt. Vertaling is niet het 1:1 overzetten van tekst in een andere taal.,Consulting source documents more often because AI translations are often lost. Translation is not the 1: 1 transferring text to another language.,language
An easier use of the website.,An easier use of the website.,ease of use
velocità nell'assumere le prime informazioni,speed in taking the first information,information
To Facilitate the understanding,To Facilitate the understanding,understanding
DUZO BŁĘDÓW,LOTS OF MISTAKES,machine translation
La información proporcionada por la web requiere una precisión que la traducción automática probablemente no puede dar,The information provided by the web requires precision that automatic translation probably cannot give,information
Me ayudaría a comprender y encontrar más rápido la información que requiero.,It would help me to understand and find the information I require faster.,information
Schimba sensul,Change the meaning,language
"Poate influenta si pozitiv si negativ dacă traducerea nu e bună. Prefer să citesc in limba engleză și dacă sunt chestiuni pe care nu le înțeleg, doar pe acelea să nu le traduc. Cel mai bine ar fi să avem si versiunea în limba engleză și în limba română.","It can influence and positive and negative if the translation is not good. I prefer to read in English and if there are issues that I do not understand, only those not to translate. It would be best to have the version in English and in Romanian.",language
Je ne sais pas.,I don't know.,nothing
Clarity of information is expected to get wor,Clarity of information is expected to get wor,information
Moest de vertaling suboptimaal gebeuren zou ik mij eraan kunnen storen.,"Had the translation had to happen suboptimally, I could be bothered.",human translation
sometimes machinery translation don't fit the translated languages linguistic. Translation is okey but can be improved,sometimes machinery translation don't fit the translated languages linguistic. Translation is okey but can be improved,human translation
"J’aimerais avoir la certitude que la traduction opérée par la machine est à tout le moins vérifiée et corrigée par une personne humaine, sans quoi je n’aurais pas confiance en ce site.","I would like to be sure that the translation operated by the machine is at the very least verified and corrected by a human person, otherwise I would not have confidence on this site.",machine translation
velmi,very,nothing
Humans can still do better than machine.,Humans can still do better than machine.,machine translation
Agilizaria el mismo.,It would expedite the same.,nothing
Eventuell würde ich auf die englische Version umsteigen,Maybe I would switch to the English version,language
Obstajale bi možnosti napak in nejasnosti,There would be options and ambiguities,ease of use
Faciliterebbe l'acquisizione delle informazioni.,It would facilitate the acquisition of information.,information
δεν θα ειχε τοσο καλη συνταξη και ορθογραφια,would not have so good retirement and spelling,machine translation
"Няма да ме удовлетвори, машиният превод в повечето случаи е неточен!","It will not satisfy me, the machine translation is in most cases inaccurate!",machine translation
"On pourrait être amenés à douter de ce qu'on lit, si les traductions automatiques ne sont pas relues par des personnes compétentes.","We could have to doubt what we read, if the automatic translations are not reread by competent people.",human translation
O,O,nothing
Keine,No,nothing
Wahrscheinlich hätte ich mich von den Inhalt mehr distanziert als sonst. Aber vielleicht auch nicht...Habe keine Erfahrung.,I would probably have distanced myself from the content more than usual. But maybe not ... I have no experience.,content
"A tradução automática, por vezes, mostra-se difícil de compreender já que é um pouco mal feita.",Automatic translation is sometimes difficult to understand as it is a little bad.,human translation
Remise en question des sens et de la portée des mots,Questioning of the senses and the scope of words,language
new country european union serbia,new country european union serbia,language
hace que el acceso a la información sea más fácil,makes access to information easier,ease of use
Me beneficia.y es más ágil.,It benefits me. And it is more agile.,language
"Δεδομένου ότι η μητρική μου είναι η ελληνική, η μηχανική μετάφραση θα μπορούσε να καταστήσει το περιεχόμενο δυσνόητο σε ορισμένες περιπτώσεις. Καθώς σημαντικό ποσοστό σελίδων του Συμβουλίου παραμένει αμετάφραστο στα Ελληνικά, τέτοιες αλλαγές ίσως έπλητταν ""κύριες"" σελίδες.","Since my parent is Greek, mechanical translation could make the content incomprehensible in some cases. As a significant proportion of the Council's pages remain unstoppable in Greek, such changes may have been ""main"" pages.",content
"Expresii din engleză, franceză și alte limbi nu sunt 100% traductibile","English, French and other languages ​​are not 100% translatable",language
"Sería más rápido y eficiente. Una lengua vehicular es suficiente, el inglés.","It would be faster and more efficient. A vehicular language is enough, English.",language
"Det vil nok for flere være lettere tilgængeligt. Det er dog fortsat vigtigt, at man kan tilgå original teksterne og derfor bør det klart fremgår, at der er tale om en maskinoversættelse - fx vandmærke eller lign.","It will probably be more easily accessible for more. However, it is still important that you can access the original texts and therefore it should be clearly stated that it is a machine translation - eg watermark or similar.",machine translation
Fear of inconsistency misinterpretation among the translations,Fear of inconsistency misinterpretation among the translations,human translation
I would be less inclined to trust the information made available.,I would be less inclined to trust the information made available.,information
this is not school,this is not school,understanding
Afectaría de un modo positivo creeria,It would affect in a positive way I would believe,language
Ние сме хора,We are people,ease of use
TRANSLATION MIGHT BE DIFFERENT FROM WHAT REALLY IS THE CONTEXT,TRANSLATION MIGHT BE DIFFERENT FROM WHAT REALLY IS THE CONTEXT,human translation
"Gegebenenfalls Verlgleich mit der Englischen Version (Oder Nutzung der englischen Verison), da ich dieser mehr verttrauen würde.","If necessary, compared to the English version (or use of the English verb), since I would trust it more.",language
In presenza di una traduzione non accurata potrei non comprendere alcuni aspetti dell'istituzione e delle sue attività.,In the presence of an unwanted translation I may not understand some aspects of the institution and its activities.,human translation
I think machine translation is less accurate than made by human,I think machine translation is less accurate than made by human,reliability
"mogłoby prowadzić do nieporozumień, jest dalekie od doskonałości, a materia nieraz skomplikowana","could lead to misunderstandings, it is far from perfection, and the matter is often complicated",machine translation
"Poco, leggo la lingua inglese senza difficoltà","Little, I read the English language without difficulty",language
"Machine translations are often obviously stupid. Besides, what's wrong with paying translators to work for a living instead of being replaced by one more absurd machine?","Machine translations are often obviously stupid. Besides, what's wrong with paying translators to work for a living instead of being replaced by one more absurd machine?",machine translation
Quality,Quality,quality
"Incorrect, or odd translations would probably draw me away from it.","Incorrect, or odd translations would probably draw me away from it.",human translation
θα γελάγανε και οι πέτρες,They would laugh and the stones,understanding
I would rather set the website to English than use a poorly translated version.,I would rather set the website to English than use a poorly translated version.,language
Eine sehr hohe.,A very high.,quality
Des traductions moins fiables sur des sujets extrêmement importants serait une catastrophe démocratique. Veuillez faire traduire vos textes par de vrais traducteurs et traductrices qui ont étudié.es toutes leurs vies la langue.,Less reliable translations on extremely important subjects would be a democratic disaster. Please have your texts translate into real translators who have studied all their lives.,reliability
Muy positivamente,Very positively,ease of use
ik zou een weider begrip zoeken door synonymen,I would seek a pasture understanding by synonyms,understanding
Strojový preklad je nepresný,The machine translation is inaccurate,machine translation
Some word can't understand it,Some word can't understand it,machine translation
mi razbira se,mi razbira se,understanding
#DeepLearning #GlobalConnection #ELearning,#DeepLearning #GlobalConnection #ELearning,understanding
"Machinevertaling - zonder verificatie achteraf - is soms moeilijk of niet correct te begrijpen en helpt de bezoeker niet. U heeft een goede website: verander deze niet, pas zo nodig aan voor nieuwe gegevens maar behoudt de lay-out.","Machine translation - without verification afterwards - is sometimes difficult or incorrect to understand and does not help the visitor. You have a good website: do not change it, adjust if necessary for new data but retain the layout.",machine translation
Rápida leitura,Rapid reading,ease of use
Podría ubicarme más rápido porque tiene demasiadas secciones,I could locate me faster because it has too many sections,ease of use
Moderat.,Moderate.,machine translation
treat machine translated content with additional care ie not give it the same weight of trust as human translated content,treat machine translated content with additional care ie not give it the same weight of trust as human translated content,content
see previous,see previous,content
Keine große aber mehr Vertrauen in Übersetzung von Menschen. Allerdings weiß man oft sowieso nicht wer was übersetzt,"No great but more trust in people. However, you often don't know who translated anyway",reliability
"prawdopodobnie trzeba by się domyślać pewnych rzeczy, jak się zna język angielski zwykle łatwiej odgadnąć co zostało błędnie przetłumaczone","You would probably have to guess some things, as you know English, it is usually easier to guess what has been incorrectly translated",ease of use
Ograniczenie zaufania do treści,Limiting confidence in content,content
miałbym wątpliwości czy tłumaczenie był trafne,I would have doubts whether the translation was accurate,human translation
"Tłumaczenie maszynowe bez weryfikacji przez tłumacza, może doprowadzić do błędów, które nie powinny mieć miejsca na stronie tak ważnej jak na stronie samej Unii Europejskiej.",Machine translation without verification by the translator may lead to errors that should not take place on the website as important as on the website of the European Union itself.,machine translation
"A tradução por tradutor tende a aproximar, ou ao invés, não desvirtuar termos do contexto. Trabalho com Fundos Europeus, pela acuidade dos termos exatos é determinante.","Translation by translator tends to approach, or instead, not distorting terms of the context. Working with European funds, due to the accuracy of the exact terms is crucial.",human translation
Konstigt översatt jag inte förstå,Strangely translated i don't understand,human translation
"Często niezrozumialy przekaz, nie zachowuje kontekstu","Often incomprehensible message, does not remain context",machine translation
"basically i do not care, i use only the ENG version, which is the working language of document production","basically i do not care, i use only the ENG version, which is the working language of document production",language
"Se non controllato da umani, ci sarebbero troppe imprecisioni ed errori","If not controlled by humans, there would be too many inaccuracies and errors",machine translation
"well having it be available in all languages, even if just machine translated, would be an improvement. The EU needs to be more independent of the US, this includes less use of english.","well having it be available in all languages, even if just machine translated, would be an improvement. The EU needs to be more independent of the US, this includes less use of english.",reliability
Negatívnym,Negative,quality
"I'd find the translation less reliable, and machine translations often miss nuance or mistranslate","I'd find the translation less reliable, and machine translations often miss nuance or mistranslate",reliability
In case of legal or technical idioms machine translation could be result misleading,In case of legal or technical idioms machine translation could be result misleading,machine translation
minore affidabilità,less reliability,reliability
"W niektórych sytuacjach mogłoby być ciężej zrozumieć informacje, które są przedstawiane","In some situations, it could be harder to understand the information that is presented",information
Geen idee.,No idea.,language
Pot aparea erori de traducere cu impact major in ceea ce priveste aplicarea unor dispozitii ale UE.,Translation errors with major impact can occur regarding the application of EU provisions.,human translation
Probabil ca traducerile nu ar mai fi la fel de exacte in termeni / expresii tehnice sau insuficient de bine recunoscute de IA,Probably translations would no longer be as accurate in technical or insufficiently well -recognized terms / expressions,human translation
moyenne,average,ease of use
Das kommt auf die Qualität der Übersetzungssoftware an.,This depends on the quality of the translation software.,quality
non credo che la sensibilità umana sia meccanizzabile,I don't think human sensitivity is mechanizable,machine translation
Perte de confiance,Loss of trustworthy,machine translation
"Sería bueno, sin embargo habría que ver si sirve legalmente.","It would be good, however it would be necessary to see if it serves legally.",ease of use
Permitiria un entendimineto mejor de la informacion,Would allow a better understanding of information,understanding
"Minder gebruik, controle van de website in een andere taal, blokkeren locatiegegevens","Less use, control of the website in another language, block location data",reliability
Confiaría menos.,I would trust less.,reliability
mi è più semplice accedere alle informazioni,It is easier for me to access information,ease of use
formální i věcnou nepřesností,both formal and factual inaccuracies,content
"Übersetzungsfehler. KI Indoktrination, etc.","Translation error. AI indoctrination, etc.",human translation
En nada,In nothing,machine translation
Non lo so,I do not know,nothing
